scale_id	category	subcategory	scale_name	scale_description	interpretability	top_explain
KARS160105	Shape	Side chain length	Eccentricity (average)	Average eccentricity (Kakraba-Knisley, 2016)	1	20
KARS160114	Shape	Side chain length	Eccentricity (average)	Average weighted eccentricity based on the atomic number (Kakraba-Knisley, 2016)	1	20
KARS160107	Shape	Side chain length	Eccentricity (maximum)	Diameter (maximum eccentricity) (Kakraba-Knisley, 2016)	1	20
KARS160116	Shape	Side chain length	Eccentricity (maximum)	Weighted diameter based on the atomic number (maximum eccentricity) (Kakraba-Knisley, 2016)	1	20
KARS160106	Shape	Side chain length	Eccentricity (minimum)	Radius (minimum eccentricity) (Kakraba-Knisley, 2016)	1	20
KARS160115	Shape	Side chain length	Eccentricity (minimum)	Weighted radius based on the atomic number (minimum eccentricity) (Kakraba-Knisley, 2016)	1	20
KARS160104	Shape	Side chain length	Graph (domination number)	Weighted domination number (Kakraba-Knisley, 2016)	1	20
KARS160113	Shape	Side chain length	Graph (domination number)	Weighted domination number using the atomic number (Kakraba-Knisley, 2016)	1	20
KARS160101	Shape	Side chain length	Graph (order)	Number of vertices (order of the graph) (Kakraba-Knisley, 2016)	1	20
KARS160102	Shape	Side chain length	Graph (size)	Number of edges (size of the graph) (Kakraba-Knisley, 2016)	1	20
KARS160103	Shape	Side chain length	Graph (weighted degree)	Total weighted degree of the graph (obtained by adding all the weights of all the vertices) (Kakraba-Knisley, 2016)	1	20
CHAM830104	Shape	Side chain length	n atoms in side chain (2+1)	The number of atoms in the side chain labelled 2+1 (Charton-Charton, 1983)	1	20
CHAM830105	Shape	Side chain length	n atoms in side chain (3+1)	The number of atoms in the side chain labelled 3+1 (Charton-Charton, 1983)	1	20
CHAM830106	Shape	Side chain length	n bonds in longest chain	The number of bonds in the longest chain (Charton-Charton, 1983)	1	20
LEVM760102	Shape	Side chain length	Side chain length	Distance between C-alpha and centroid of side chain (Levitt, 1976)	1	20
LEVM760105	Shape	Side chain length	Side chain length	Radius of gyration of side chain (Levitt, 1976)	1	20
FAUJ880104	Shape	Side chain length	Steric parameter	STERIMOL length of the side chain (Fauchere et al., 1988)	1	20
FAUJ880106	Shape	Side chain length	Steric parameter (maximum width R)	STERIMOL maximum width of the side chain (Fauchere et al., 1988)	1	20
CHAM830103	Shape	Steric parameter	n atoms in side chain (1+1)	The number of atoms in the side chain labelled 1+1 (Charton-Charton, 1983)	7	60
FAUJ880101	Shape	Steric parameter	Shape Index	Graph shape index (Fauchere et al., 1988)	7	60
LEVM760103	Shape	Steric parameter	Side chain angle (theta)	Side chain angle theta(AAR) (Levitt, 1976)	7	60
CHAM810101	Shape	Steric parameter	Steric parameter	Steric parameter (Charton, 1981)	7	60
FAUJ880102	Shape	Steric parameter	Steric parameter	Smoothed upsilon steric parameter (Fauchere et al., 1988)	7	60
FAUJ880105	Shape	Steric parameter	Steric parameter (minimum width R)	STERIMOL minimum width of the side chain (Fauchere et al., 1988)	7	60
KARS160118	Shape	Unclassified (Shape)	Atomic number (average)	Average weighted atomic number or degree based on atomic number in the graph (Kakraba-Knisley, 2016)	10	
KARS160110	Shape	Unclassified (Shape)	Eigenvalue (minimum)	Minimum eigenvalue of the weighted Laplacian matrix of the graph (Kakraba-Knisley, 2016)	10	
KARS160120	Shape	Unclassified (Shape)	Eigenvalue (minimum)	Weighted minimum eigenvalue based on the atomic numbers (Kakraba-Knisley, 2016)	10	
RACS820113	Shape	Unclassified (Shape)	Side chain angle (theta)	Value of theta(i) (Rackovsky-Scheraga, 1982)	10	
ROSM880103	Structure-Activity	Backbone-dynamics (-CH)	Loss of hydropathy by α-helix formation	Loss of Side chain hydropathy by helix formation (Roseman, 1988)	8	45
ANDN920101	Structure-Activity	Backbone-dynamics (-CH)	α-CH chemical shifts (backbone-dynamics)	alpha-CH chemical shifts (Andersen et al., 1992)	8	45
BUNA790102	Structure-Activity	Backbone-dynamics (-CH)	α-CH chemical shifts (backbone-dynamics)	alpha-CH chemical shifts (Bundi-Wuthrich, 1979)	8	45
BUNA790103	Structure-Activity	Backbone-dynamics (-NH)	Spin-spin coupling	Spin-spin coupling constants 3JHalpha-NH (Bundi-Wuthrich, 1979)	8	45
BUNA790101	Structure-Activity	Backbone-dynamics (-NH)	α-NH chemical shifts (backbone-dynamics)	alpha-NH chemical shifts (Bundi-Wuthrich, 1979)	8	45
BHAR880101	Structure-Activity	Flexibility	Flexibility	Average flexibility indices (Bhaskaran-Ponnuswamy, 1988)	1	10
PARS000101	Structure-Activity	Flexibility	Flexibility	p-Values of mesophilic proteins based on the distributions of B values (Parthasarathy-Murthy, 2000)	1	10
PARS000102	Structure-Activity	Flexibility	Flexibility	p-Values of thermophilic proteins based on the distributions of B values (Parthasarathy-Murthy, 2000)	1	10
VINM940101	Structure-Activity	Flexibility	Flexibility	Normalized flexibility parameters (B-values), average (Vihinen et al., 1994)	1	10
KARP850101	Structure-Activity	Flexibility	Flexibility (0 rigid neighbors)	Flexibility parameter for no rigid neighbors (Karplus-Schulz, 1985)	1	10
VINM940102	Structure-Activity	Flexibility	Flexibility (0 rigid neighbors)	Normalized flexibility parameters (B-values) for each residue surrounded by none rigid neighbours (Vihinen et al., 1994)	1	10
KARP850102	Structure-Activity	Flexibility	Flexibility (1 rigid neighbors)	Flexibility parameter for one rigid neighbor (Karplus-Schulz, 1985)	1	10
VINM940103	Structure-Activity	Flexibility	Flexibility (1 rigid neighbors)	Normalized flexibility parameters (B-values) for each residue surrounded by one rigid neighbours (Vihinen et al., 1994)	1	10
KRIW710101	Structure-Activity	Flexibility	Side chain interaction	Side chain interaction parameter (Krigbaum-Rubin, 1971)	1	10
KRIW790101	Structure-Activity	Flexibility	Side chain interaction	Side chain interaction parameter (Krigbaum-Komoriya, 1979)	1	10
OOBM850105	Structure-Activity	Flexibility	Side chain interaction	Optimized side chain interaction parameter (Oobatake et al., 1985)	1	10
KARP850103	Structure-Activity	Flexibility (2 rigid neighbors)	Flexibility (2 rigid neighbors)	Flexibility parameter for two rigid neighbors (Karplus-Schulz, 1985)	5	30
KRIW790102	Structure-Activity	Flexibility (2 rigid neighbors)	Flexibility (2 rigid neighbors)	Fraction of site occupied by water (Krigbaum-Komoriya, 1979)	5	30
VINM940104	Structure-Activity	Flexibility (2 rigid neighbors)	Flexibility (2 rigid neighbors)	Normalized flexibility parameters (B-values) for each residue surrounded by two rigid neighbours (Vihinen et al., 1994)	5	30
BASU050102	Structure-Activity	Stability	Interactivity	Interactivity scale obtained by maximizing the mean of correlation Coefficient over single-domain globular proteins (Bastolla et al., 2005)	1	20
TAKK010101	Structure-Activity	Stability	Stability	Side-chain contribution to protein stability (kJ/mol) (Takano-Yutani, 2001)	1	20
ZHOH040101	Structure-Activity	Stability	Stability	The stability scale from the knowledge-based atom-atom potential (Zhou-Zhou, 2004)	1	20
ZHOH040102	Structure-Activity	Stability	Stability	The relative stability scale extracted from mutation experiments (Zhou-Zhou, 2004)	1	20
OOBM850101	Structure-Activity	Stability	Stability (extended-coil)	Optimized beta-structure-coil equilibrium constant (Oobatake et al., 1985)	1	20
PTIO830102	Structure-Activity	Stability	Stability (extended-coil)	Beta-coil equilibrium constant (Ptitsyn-Finkelstein, 1983)	1	20
FAUJ880107	Structure-Activity	Stability	α-CH chemical shifts (backbone-dynamics)	N.m.r. chemical shift of alpha-carbon (Fauchere et al., 1988)	1	20
GEOR030108	Structure-Activity	Stability (helix-coil)	Linker (helical)	Linker propensity from helical (annotated by DSSP) dataset (George-Heringa, 2003)	5	40
FINA770101	Structure-Activity	Stability (helix-coil)	Stability (helix-coil)	Helix-coil equilibrium constant (Finkelstein-Ptitsyn, 1977)	5	40
PTIO830101	Structure-Activity	Stability (helix-coil)	Stability (helix-coil)	Helix-coil equilibrium constant (Ptitsyn-Finkelstein, 1983)	5	40
SUEM840101	Structure-Activity	Stability (helix-coil)	Stability (helix-coil)	Zimm-Bragg parameter s at 20 C (Sueki et al., 1984)	5	40
SUEM840102	Structure-Activity	Unclassified (Structure-Activity)	Stability (extended-coil)	Zimm-Bragg parameter sigma x 1.0E4 (Sueki et al., 1984)	10	
