top_explain	min_th	just_aaindex	scale_ids
10	0.8	True	GUYH850104;CHOC750101;GEIM800111;NAGK730103;QIAN880130;CHOP780207;CHOP780201;KANM800103;LEVM780101;RICJ880112;QIAN880108;PALJ810104;PALJ810111;KLEP840101;CHAM830108;FAUJ880112;RADA880104;CIDH920105;NADH010102;PONP930101;MEEJ800102;MEEJ810102;SIMZ760101;VINM940102;VINM940103;KRIW790101
10	0.9	True	JANJ780101;RACS770103;VHEG790101;RADA880106;CHOC750101;CHAM830101;QIAN880130;QIAN880133;QIAN880135;ROBB760112;CHOP780207;AURR980112;CHOP780201;ISOY800101;KANM800103;LEVM780101;QIAN880109;RICJ880112;QIAN880104;RACS820105;CHOP780202;CHOP780208;CHOP780209;CRAJ730102;LEVM780102;PALJ810103;PALJ810111;QIAN880120;KLEP840101;CHAM830108;FAUJ880112;CHAM830107;YUTK870101;YUTK870103;RADA880104;ARGP820101;CIDH920105;NADH010102;WILM950102;ZIMJ680101;BROC820101;MEEJ800101;MEEJ810102;BROC820102;EISD860101;LAWE840101;SIMZ760101;WIMW960101;BHAR880101;PARS000101;PARS000102;VINM940101;KARP850101;VINM940102;KARP850102;VINM940103;KRIW710101;KRIW790101;OOBM850105
15	0.3	False	LINS030106;LINS030114;GUYH850104;BIOV880101;JANJ780102;CHOC750101;CEDJ970104;CHAM830101;GEIM800110;CHOP780201;ISOY800101;QIAN880108;CHOP780202;RADA880104;MEEJ810101;RADA880102
15	0.4	False	LINS030106;LINS030114;LINS030108;GUYH850104;BIOV880101;CHOC760103;CHOC750101;CEDJ970104;CHAM830101;CHOP780201;KANM800103;LEVM780101;QIAN880110;LEVM780102;ROBB760106;RADA880104;CIDH920105;GOLD730101;GUOD860101;KOEH090112;KARP850102
15	0.5	False	LINS030106;LINS030114;LINS030108;GUYH850104;BIOV880101;CHOC760103;CHOC750101;CEDJ970104;CHAM830101;CHOP780201;KANM800103;LEVM780101;QIAN880108;LEVM780102;ROBB760106;CHAM830108;RADA880104;CIDH920105;GUOD860101;RADA880102;SIMZ760101;KOEH090112;KARP850102
15	0.6	False	LINS030107;LINS030106;LINS030114;GUYH850104;BIOV880101;CHOC760103;CHOC750101;CEDJ970104;CHAM830101;GEIM800110;CHOP780201;KANM800103;LEVM780101;QIAN880108;LEVM780102;ROBB760106;CHAM830108;RADA880104;CIDH920105;GUOD860101;RADA880102;SIMZ760101;WILM950103;KARP850102
15	0.7	False	LINS030104;LINS030107;LINS030106;LINS030114;GUYH850104;BIOV880101;CHOC750101;JUKT750101;CEDJ970104;CHAM830101;AURR980111;CHOP780201;KANM800103;LEVM780101;LEVM780102;PALJ810104;ROBB760106;CHAM830108;FAUJ880112;HUTJ700103;YUTK870101;RADA880104;CIDH920105;KYTJ820101;MEEJ800102;MEEJ810101;SIMZ760101;CHAM820102;KOEH090112;KARP850102
15	0.8	False	LINS030109;LINS030114;GUYH850104;BIOV880101;CHOC760103;NISK800101;LINS030117;LINS030101;TSAJ990101;JUKT750101;CEDJ970104;GEIM800111;QIAN880130;CHOP780207;CHOP780201;KANM800103;LEVM780101;RICJ880112;AURR980110;LEVM780102;PALJ810104;ROBB760106;KLEP840101;FAUJ880112;YUTK870101;RADA880104;CIDH920105;MEEJ800102;MEEJ810102;RADA880102;SIMZ760101;CHAM820102;KOEH090112;WILM950103;VINM940101;KRIW790101
15	0.9	False	LINS030104;LINS030107;LINS030114;VHEG790101;BIOV880101;ARGP820103;CHOC760103;LINS030117;CHOC760101;TSAJ990101;JUKT750101;CEDJ970102;NAKH920101;FUKS010110;KUMS000103;CHAM830101;QIAN880130;QIAN880133;QIAN880134;ROBB760112;CHOP780207;CHOP780201;KANM800103;LEVM780101;PALJ810101;RICJ880112;AURR980110;QIAN880106;QIAN880108;AURR980108;RACS820105;CHOP780209;CRAJ730102;LEVM780105;PALJ810110;PALJ810111;QIAN880118;ROBB760106;KLEP840101;CHAM830108;FAUJ880112;CHAM830107;HUTJ700102;HUTJ700103;OOBM770102;YUTK870101;YUTK870103;RADA880107;ARGP820101;CIDH920105;EISD840101;NADH010102;ZIMJ680101;GUOD860101;MEEJ810102;BROC820102;EISD860101;LAWE840101;WIMW960101;CHAM820102;KOEH090112;WILM950103;PARS000102;KARP850102;KRIW710101;OOBM850105
15	0.3	True	JANJ780103;CHOC750101;CEDJ970104;GEIM800111;AURR980111;ISOY800101;EISD840101;NADH010102;SWER830101;VINM940101
